Spectrogram 5.0 Data
C:\Users\Tim\Documents\Repositories\mta\sine_1k_amp12db.wav
16000 Hz Sampling Rate
31.25 Hz Frequency Resolution
1964 msec Event Time

Num  Hz       dB

0    15.63    -82.8
1    46.88    -88.3
2    78.13    -90.0
3    109.38   -90.0
4    140.63   -90.0
5    171.88   -90.0
6    203.13   -90.0
7    234.38   -90.0
8    265.63   -90.0
9    296.88   -90.0
10   328.13   -90.0
11   359.38   -90.0
12   390.63   -90.0
13   421.88   -90.0
14   453.13   -90.0
15   484.38   -90.0
16   515.63   -90.0
17   546.88   -90.0
18   578.13   -90.0
19   609.38   -90.0
20   640.63   -90.0
21   671.88   -90.0
22   703.13   -90.0
23   734.38   -90.0
24   765.63   -90.0
25   796.88   -90.0
26   828.13   -90.0
27   859.38   -90.0
28   890.63   -90.0
29   921.88   -90.0
30   953.13   -90.0
31   984.38   0.0
32   1015.63  0.0
33   1046.88  0.0
34   1078.13  -90.0
35   1109.38  -90.0
36   1140.63  -90.0
37   1171.88  -90.0
38   1203.13  -90.0
39   1234.38  -90.0
40   1265.63  -90.0
41   1296.88  -90.0
42   1328.13  -90.0
43   1359.38  -90.0
44   1390.63  -90.0
45   1421.88  -90.0
46   1453.13  -90.0
47   1484.38  -90.0
48   1515.63  -90.0
49   1546.88  -90.0
50   1578.13  -90.0
51   1609.38  -90.0
52   1640.63  -90.0
53   1671.88  -90.0
54   1703.13  -90.0
55   1734.38  -90.0
56   1765.63  -90.0
57   1796.88  -90.0
58   1828.13  -90.0
59   1859.38  -90.0
60   1890.63  -90.0
61   1921.88  -90.0
62   1953.13  -90.0
63   1984.38  -90.0
64   2015.63  -90.0
65   2046.88  -90.0
66   2078.13  -90.0
67   2109.38  -90.0
68   2140.63  -90.0
69   2171.88  -90.0
70   2203.13  -90.0
71   2234.38  -90.0
72   2265.63  -90.0
73   2296.88  -90.0
74   2328.13  -90.0
75   2359.38  -90.0
76   2390.63  -90.0
77   2421.88  -90.0
78   2453.13  -90.0
79   2484.38  -90.0
80   2515.63  -90.0
81   2546.88  -90.0
82   2578.13  -90.0
83   2609.38  -90.0
84   2640.63  -90.0
85   2671.88  -90.0
86   2703.13  -90.0
87   2734.38  -90.0
88   2765.63  -90.0
89   2796.88  -90.0
90   2828.13  -90.0
91   2859.38  -90.0
92   2890.63  -90.0
93   2921.88  -90.0
94   2953.13  -90.0
95   2984.38  -9.5
96   3015.63  -3.5
97   3046.88  -9.5
98   3078.13  -90.0
99   3109.38  -90.0
100  3140.63  -90.0
101  3171.88  -90.0
102  3203.13  -90.0
103  3234.38  -90.0
104  3265.63  -90.0
105  3296.88  -90.0
106  3328.13  -90.0
107  3359.38  -90.0
108  3390.63  -90.0
109  3421.88  -90.0
110  3453.13  -90.0
111  3484.38  -90.0
112  3515.63  -90.0
113  3546.88  -90.0
114  3578.13  -90.0
115  3609.38  -90.0
116  3640.63  -90.0
117  3671.88  -90.0
118  3703.13  -90.0
119  3734.38  -90.0
120  3765.63  -90.0
121  3796.88  -90.0
122  3828.13  -90.0
123  3859.38  -90.0
124  3890.63  -90.0
125  3921.88  -90.0
126  3953.13  -90.0
127  3984.38  -90.0
128  4015.63  -90.0
129  4046.88  -90.0
130  4078.13  -90.0
131  4109.38  -90.0
132  4140.63  -90.0
133  4171.88  -90.0
134  4203.13  -90.0
135  4234.38  -90.0
136  4265.63  -90.0
137  4296.88  -90.0
138  4328.13  -90.0
139  4359.38  -90.0
140  4390.63  -90.0
141  4421.88  -90.0
142  4453.13  -90.0
143  4484.38  -90.0
144  4515.63  -90.0
145  4546.88  -90.0
146  4578.13  -90.0
147  4609.38  -90.0
148  4640.63  -90.0
149  4671.88  -90.0
150  4703.13  -90.0
151  4734.38  -90.0
152  4765.63  -90.0
153  4796.88  -90.0
154  4828.13  -90.0
155  4859.38  -90.0
156  4890.63  -90.0
157  4921.88  -90.0
158  4953.13  -90.0
159  4984.38  -28.3
160  5015.63  -22.3
161  5046.88  -28.3
162  5078.13  -90.0
163  5109.38  -90.0
164  5140.63  -90.0
165  5171.88  -90.0
166  5203.13  -90.0
167  5234.38  -90.0
168  5265.63  -90.0
169  5296.88  -90.0
170  5328.13  -90.0
171  5359.38  -90.0
172  5390.63  -90.0
173  5421.88  -90.0
174  5453.13  -90.0
175  5484.38  -90.0
176  5515.63  -90.0
177  5546.88  -90.0
178  5578.13  -90.0
179  5609.38  -90.0
180  5640.63  -90.0
181  5671.88  -90.0
182  5703.13  -90.0
183  5734.38  -90.0
184  5765.63  -90.0
185  5796.88  -90.0
186  5828.13  -90.0
187  5859.38  -90.0
188  5890.63  -90.0
189  5921.88  -90.0
190  5953.13  -90.0
191  5984.38  -90.0
192  6015.63  -90.0
193  6046.88  -90.0
194  6078.13  -90.0
195  6109.38  -90.0
196  6140.63  -90.0
197  6171.88  -90.0
198  6203.13  -90.0
199  6234.38  -90.0
200  6265.63  -90.0
201  6296.88  -90.0
202  6328.13  -90.0
203  6359.38  -90.0
204  6390.63  -90.0
205  6421.88  -90.0
206  6453.13  -90.0
207  6484.38  -90.0
208  6515.63  -90.0
209  6546.88  -90.0
210  6578.13  -90.0
211  6609.38  -90.0
212  6640.63  -90.0
213  6671.88  -90.0
214  6703.13  -90.0
215  6734.38  -90.0
216  6765.63  -90.0
217  6796.88  -90.0
218  6828.13  -90.0
219  6859.38  -90.0
220  6890.63  -90.0
221  6921.88  -90.0
222  6953.13  -90.0
223  6984.38  -38.5
224  7015.63  -32.5
225  7046.88  -38.5
226  7078.13  -90.0
227  7109.38  -90.0
228  7140.63  -90.0
229  7171.88  -90.0
230  7203.13  -90.0
231  7234.38  -90.0
232  7265.63  -90.0
233  7296.88  -90.0
234  7328.13  -90.0
235  7359.38  -90.0
236  7390.63  -90.0
237  7421.88  -90.0
238  7453.13  -90.0
239  7484.38  -90.0
240  7515.63  -90.0
241  7546.88  -90.0
242  7578.13  -90.0
243  7609.38  -90.0
244  7640.63  -90.0
245  7671.88  -90.0
246  7703.13  -90.0
247  7734.38  -90.0
248  7765.63  -90.0
249  7796.88  -90.0
250  7828.13  -90.0
251  7859.38  -90.0
252  7890.63  -90.0
253  7921.88  -90.0
254  7953.13  -90.0
255  7984.38  -90.0
